time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
1.480000000000001037e-01,1.063242500443269511e+00,-1.412881008702074226e+00,1.210015753829519269e+01,-1.236615199270552345e+01,5.944171428680419922e+00,0.000000000000000000e+00
1.500000000000001055e-01,1.087548450125149335e+00,-1.437520035259453932e+00,1.220605301466835080e+01,-1.227226672837734078e+01,5.943524837493896484e+00,0.000000000000000000e+00
1.520000000000001072e-01,1.112067758547660823e+00,-1.461967647066234832e+00,1.231352752902678205e+01,-1.217474902619158961e+01,5.941161155700683594e+00,0.000000000000000000e+00
1.540000000000001090e-01,1.136803592993562040e+00,-1.486216591683213739e+00,1.242258871698733103e+01,-1.207361007781683959e+01,5.938563823699951172e+00,0.000000000000000000e+00
1.560000000000001108e-01,1.161759174208129020e+00,-1.510259680420974249e+00,1.253328238030838193e+01,-1.196890219563553792e+01,5.934014797210693359e+00,0.000000000000000000e+00
1.580000000000001126e-01,1.186937749697817512e+00,-1.534089767026350470e+00,1.264558945944548540e+01,-1.186061602529754389e+01,5.930116653442382812e+00,0.000000000000000000e+00
1.600000000000001144e-01,1.212342602712400685e+00,-1.557699762785950792e+00,1.275956475143163793e+01,-1.174881796554837621e+01,5.929421424865722656e+00,0.000000000000000000e+00
1.620000000000001161e-01,1.237977198533807721e+00,-1.581082780131042087e+00,1.287533552972653972e+01,-1.163364230342415517e+01,5.927857875823974609e+00,0.000000000000000000e+00
1.640000000000001179e-01,1.263845116497530396e+00,-1.604232064130616697e+00,1.299288854118264780e+01,-1.151508845793484603e+01,5.921914100646972656e+00,0.000000000000000000e+00
1.660000000000001197e-01,1.289949786180523805e+00,-1.627140750687131820e+00,1.311208719137086298e+01,-1.139304875039663045e+01,5.915197849273681641e+00,0.000000000000000000e+00
1.680000000000001215e-01,1.316294469853046989e+00,-1.649801869485979733e+00,1.323290079479387948e+01,-1.126752393023548215e+01,5.905093193054199219e+00,0.000000000000000000e+00
1.700000000000001232e-01,1.342882273300397555e+00,-1.672208373168222018e+00,1.335520347111926220e+01,-1.113843690028530098e+01,5.891803264617919922e+00,0.000000000000000000e+00
1.720000000000001250e-01,1.369716045928607295e+00,-1.694353068776071503e+00,1.347886469013671906e+01,-1.100571921664021957e+01,5.874908924102783203e+00,0.000000000000000000e+00
1.740000000000001268e-01,1.396798350960790858e+00,-1.716228617599909523e+00,1.360372875681422222e+01,-1.086929376735992214e+01,5.854684352874755859e+00,0.000000000000000000e+00
1.760000000000001286e-01,1.424131437338271411e+00,-1.737827538568203156e+00,1.372963706857235167e+01,-1.072909534524036346e+01,5.822357654571533203e+00,0.000000000000000000e+00
1.780000000000001303e-01,1.451716936869830832e+00,-1.759141983940319287e+00,1.385613074653476673e+01,-1.058482449301827621e+01,5.781301975250244141e+00,0.000000000000000000e+00
1.800000000000001321e-01,1.479555658478393099e+00,-1.780163620142585224e+00,1.398284583564112182e+01,-1.043629418483546800e+01,5.728556156158447266e+00,0.000000000000000000e+00
1.820000000000001339e-01,1.507647569945337773e+00,-1.800883675556446128e+00,1.410930498884204809e+01,-1.028325412738425015e+01,5.660216331481933594e+00,0.000000000000000000e+00
1.840000000000001357e-01,1.535991537524010075e+00,-1.821292795717375013e+00,1.423488381155253002e+01,-1.012537268607520957e+01,5.563367843627929688e+00,0.000000000000000000e+00
1.860000000000001374e-01,1.564584728290928206e+00,-1.841380652967044895e+00,1.435850687021984307e+01,-9.962011127063693294e+00,5.438454151153564453e+00,0.000000000000000000e+00
1.880000000000001392e-01,1.593422145581878446e+00,-1.861135705829889186e+00,1.447908578696555182e+01,-9.792594323392268763e+00,5.305898666381835938e+00,0.000000000000000000e+00
1.900000000000001410e-01,1.622497274623148078e+00,-1.880545837614128191e+00,1.459619184205620535e+01,-9.617117919391587222e+00,5.580914497375488281e+00,0.000000000000000000e+00
1.920000000000001428e-01,1.651816759035302784e+00,-1.899609488152971926e+00,1.472343413166848514e+01,-9.446055411146053515e+00,5.546964168548583984e+00,0.000000000000000000e+00
1.940000000000001446e-01,1.681390381405830192e+00,-1.918327297179200253e+00,1.485030599715679678e+01,-9.271284274556613525e+00,5.263134956359863281e+00,0.000000000000000000e+00
1.960000000000001463e-01,1.711208724139017034e+00,-1.936685675092976844e+00,1.496811563144301793e+01,-9.086685078331459664e+00,4.984464168548583984e+00,0.000000000000000000e+00
1.980000000000001481e-01,1.741253555635396078e+00,-1.954665524078263994e+00,1.507675446089718463e+01,-8.892815508680042669e+00,4.583247184753417969e+00,0.000000000000000000e+00
2.000000000000001499e-01,1.771502019413142559e+00,-1.972245727305756535e+00,1.517169930465584571e+01,-8.687125488479358282e+00,3.945183277130126953e+00,0.000000000000000000e+00
2.020000000000001517e-01,1.801918161355569481e+00,-1.989397499235114886e+00,1.524436935005787319e+01,-8.464519808460066130e+00,4.247826576232910156e+00,0.000000000000000000e+00
2.040000000000001534e-01,1.832489685362225895e+00,-2.006110589733225869e+00,1.532707234881168112e+01,-8.248385053835352920e+00,4.050744056701660156e+00,0.000000000000000000e+00
2.060000000000001552e-01,1.863219173355062930e+00,-2.022385600761508861e+00,1.540229533545916141e+01,-8.026485347626650224e+00,3.903061866760253906e+00,0.000000000000000000e+00
2.080000000000001570e-01,1.894093139942658155e+00,-2.038212480252341141e+00,1.547151611558252782e+01,-7.800288805180604967e+00,3.756222724914550781e+00,0.000000000000000000e+00
2.100000000000001588e-01,1.925099376282644936e+00,-2.053582893386584285e+00,1.553453084155409591e+01,-7.570054536493739938e+00,3.555449008941650391e+00,0.000000000000000000e+00
2.120000000000001605e-01,1.956223324552536669e+00,-2.068487745077201900e+00,1.558919144772843524e+01,-7.334774252162504560e+00,3.359855175018310547e+00,0.000000000000000000e+00
2.140000000000001623e-01,1.987448208508724612e+00,-2.082917377916421842e+00,1.563543136336748240e+01,-7.094881723579215205e+00,2.912016391754150391e+00,0.000000000000000000e+00
2.160000000000001641e-01,2.018747896818021470e+00,-2.096857066748632370e+00,1.566394775145072948e+01,-6.844927247845594920e+00,4.594459533691406250e+00,0.000000000000000000e+00
2.180000000000001659e-01,2.050163354872720500e+00,-2.110336069943385962e+00,1.575127456097085421e+01,-6.633864580319398740e+00,5.990520000457763672e+00,0.000000000000000000e+00
2.200000000000001676e-01,2.081802554689794249e+00,-2.123423434978523261e+00,1.588774301246115428e+01,-6.453015575075701449e+00,5.999981403350830078e+00,0.000000000000000000e+00
2.220000000000001694e-01,2.113713888675044839e+00,-2.136146419631847149e+00,1.602338235745231643e+01,-6.269488949223420704e+00,5.999998569488525391e+00,0.000000000000000000e+00
2.240000000000001712e-01,2.145895196117357795e+00,-2.148499484155543371e+00,1.615768923809775970e+01,-6.083102302619206370e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.260000000000001730e-01,2.178343647548515616e+00,-2.160476949635686594e+00,1.629049883920845332e+01,-5.893896919913903076e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.280000000000001747e-01,2.211056082824989666e+00,-2.172073220867497767e+00,1.642164534360478001e+01,-5.701915159204080652e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.300000000000001765e-01,2.244029008899592892e+00,-2.183282787803398239e+00,1.655096170074418538e+01,-5.507199750615761502e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.320000000000001783e-01,2.277258597504250304e+00,-2.194100225841763674e+00,1.667827976917009636e+01,-5.309793336700056265e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.340000000000001801e-01,2.310740683126662365e+00,-2.204520195203889088e+00,1.680343046744018665e+01,-5.109738020599404962e+00,5.999991416931152344e+00,0.000000000000000000e+00
2.360000000000001819e-01,2.344470760920645880e+00,-2.214537439197909574e+00,1.692624355598505304e+01,-4.907074707296404270e+00,5.972860336303710938e+00,0.000000000000000000e+00
2.380000000000001836e-01,2.378442964346632493e+00,-2.224146193230791102e+00,1.704552633802884998e+01,-4.701260095490142454e+00,-1.987829804420471191e+00,0.000000000000000000e+00
2.400000000000001854e-01,2.412350368687863345e+00,-2.233168792968319050e+00,1.686106927737310102e+01,-4.322556488574412548e+00,-5.999962806701660156e+00,0.000000000000000000e+00
2.420000000000001872e-01,2.445731983178156543e+00,-2.241354863281673104e+00,1.651960319355582740e+01,-3.865517256250795786e+00,-5.999999523162841797e+00,0.000000000000000000e+00
2.440000000000001890e-01,2.478425132289372002e+00,-2.248638790675965282e+00,1.617266461738247685e+01,-3.420371389479359259e+00,-5.997984886169433594e+00,0.000000000000000000e+00
2.460000000000001907e-01,2.510419317330170763e+00,-2.255044152263546486e+00,1.582070162119968160e+01,-2.986908661491131323e+00,5.378515720367431641e+00,0.000000000000000000e+00
2.480000000000001925e-01,2.542139519165657724e+00,-2.260837059575939723e+00,1.589905225901441099e+01,-2.805756157693231501e+00,-5.696956634521484375e+00,0.000000000000000000e+00
2.500000000000001665e-01,2.573589512306978300e+00,-2.266030180234461788e+00,1.555019545282792315e+01,-2.389192092565882941e+00,1.974772453308105469e+00,0.000000000000000000e+00
2.520000000000001683e-01,2.604631826603069911e+00,-2.270564273388348653e+00,1.549159536301768547e+01,-2.145296597111848058e+00,-4.422927856445312500e+00,0.000000000000000000e+00
2.540000000000001701e-01,2.635307884439167303e+00,-2.274477081804244794e+00,1.518382402713280399e+01,-1.769062690571231222e+00,-1.835866212844848633e+00,0.000000000000000000e+00
2.560000000000001719e-01,2.665464255630867640e+00,-2.277701541097424176e+00,1.497199729071187235e+01,-1.456462004406352762e+00,-5.526064872741699219e+00,0.000000000000000000e+00
2.580000000000001736e-01,2.695051525126676673e+00,-2.280228973315872931e+00,1.461471314265898691e+01,-1.072659791103941052e+00,-1.866160511970520020e+00,0.000000000000000000e+00
2.600000000000001754e-01,2.724062156805506341e+00,-2.282076360301827922e+00,1.439544659646314706e+01,-7.757612978743247956e-01,-3.937679529190063477e+00,0.000000000000000000e+00
2.620000000000001772e-01,2.752551542368374626e+00,-2.283292290000507929e+00,1.409349203553110996e+01,-4.415373933011400576e-01,-1.967637777328491211e+00,0.000000000000000000e+00
2.640000000000001790e-01,2.780510497760327215e+00,-2.283889646917967475e+00,1.386507763652055125e+01,-1.568713944708736152e-01,-3.674088478088378906e+00,0.000000000000000000e+00
2.660000000000001807e-01,2.807946892464502575e+00,-2.283893311329741493e+00,1.357226361530492653e+01,1.489516593624059526e-01,-4.318080425262451172e+00,0.000000000000000000e+00
2.680000000000001825e-01,2.834776358369893945e+00,-2.283291792902437223e+00,1.325695877847977222e+01,4.511789318510865399e-01,-3.194357872009277344e+00,0.000000000000000000e+00
2.700000000000001843e-01,2.861017159283290479e+00,-2.282117776131175724e+00,1.298361990538231403e+01,7.216867761872572951e-01,-4.100783348083496094e+00,0.000000000000000000e+00
2.720000000000001861e-01,2.886675066009246837e+00,-2.280390381556564261e+00,1.267411074939524873e+01,1.004447349246008425e+00,-4.319782257080078125e+00,0.000000000000000000e+00
2.740000000000001878e-01,2.911704545155623602e+00,-2.278100322322532456e+00,1.235523781826943512e+01,1.284348670632125433e+00,-3.507736444473266602e+00,0.000000000000000000e+00
2.760000000000001896e-01,2.936126834312980272e+00,-2.275275233021363697e+00,1.206694970314045356e+01,1.539622653036284650e+00,-3.993920803070068359e+00,0.000000000000000000e+00
